#{"t_start": 1771556126.2569082, "env_id": "None"}
r,l,t
-1672077.9,200,1331.867244
-1673011.7,200,1340.177064
-1736432.5,200,1349.248826
-1592105.6,200,1358.474015
-1740897.7,200,1366.389021
-1716061.8,200,1373.303071
-618015.2,200,1379.312557
-1707895.5,200,1385.891046
-1657067.8,200,1392.810631
-1593899.7,200,1399.59164
-746393.9,200,1405.121278
-1661798.3,200,1411.241309
-1605890.1,200,1417.627419
-637652.4,200,1422.618808
-1749330.6,200,1428.776138
-1735812.2,200,1434.910477
-1612362.9,200,1442.769086
-1582263.6,200,1448.977856
-686319.2,200,1454.138369
-1681800.9,200,1461.371909
-671405.0,200,1468.890934
-1772560.1,200,1477.931036
-1750352.6,200,1486.332045
-1805098.2,200,1495.714458
-1724869.8,200,1504.135698
-737869.9,200,1512.16469
-1658815.7,200,1520.990258
-1673398.1,200,1534.027765
-1662319.2,200,1542.677265
-1154222.3,200,1549.907974
-667428.3,200,1556.348354
-1670930.6,200,1565.77947
-1670201.2,200,1574.191286
-653531.9,200,1582.752139
-1676552.9,200,1590.157043
-167659.8,200,1595.522612
-1796803.8,200,1602.186187
-670173.7,200,1608.896729
-1796109.4,200,1615.192261
-1658209.5,200,1621.452831
-96315.8,200,1626.430848
-1682691.9,200,1632.22592
-687166.2,200,1636.936513
-1631723.0,200,1643.291853
-737790.2,200,1648.196265
-1591685.6,200,1654.36993
-1672046.4,200,1660.668588
-656857.6,200,1667.618465
-1628570.1,200,1673.236564
-153087.2,200,1677.783506
-136427.1,200,1682.380993
-682044.3,200,1686.915737
-1658983.7,200,1692.743968
-1666161.5,200,1698.408037
-119375.9,200,1703.459363
-665778.4,200,1708.439469
-2381177.2,200,1714.834316
-632475.9,200,1720.977182
-1744601.4,200,1726.50071
-693262.5,200,1731.38225
-1665761.8,200,1737.027775
-1676011.2,200,1742.613217
-1694721.5,200,1748.201638
-113627.5,200,1752.657543
-1722627.0,200,1758.265191
-1668082.3,200,1763.751523
-1720184.7,200,1769.258688
-126175.6,200,1774.307035
-1662049.0,200,1779.763901
-703229.8,200,1784.291713
-680013.6,200,1788.824673
-635361.3,200,1793.324691
-112753.2,200,1797.66153
-734148.1,200,1802.298714
-736974.7,200,1806.985318
-1850715.8,200,1812.583959
-1735020.4,200,1817.948258
-126614.6,200,1822.138912
-768223.4,200,1828.730774
-1667830.9,200,1834.030849
-114068.5,200,1838.710676
-1727128.7,200,1845.109
-1670280.9,200,1850.577004
-1742607.1,200,1856.635905
-1748625.6,200,1862.756247
-671727.7,200,1867.398941
-1736297.2,200,1873.420096
-123104.8,200,1878.21278
-1673491.2,200,1885.698663
-1775555.3,200,1891.849429
-732536.0,200,1896.87447
-735454.3,200,1901.694617
-709275.7,200,1906.602757
-1636534.0,200,1912.680222
-139380.5,200,1917.594513
-654955.0,200,1922.310401
-676456.2,200,1926.823215
-1730117.0,200,1932.264458
-1718926.8,200,1938.663058
-1590364.1,200,1944.447129
-1667599.3,200,1949.924003
-688698.5,200,1954.656062
-1706550.1,200,1960.21832
-1732963.9,200,1966.106234
-1742402.7,200,1971.829872
-1665500.0,200,1977.601605
-680100.4,200,1982.352621
-1697849.8,200,1988.596389
-1669727.3,200,1998.463407
-1733699.6,200,2006.010091
-1724683.6,200,2014.203857
-738624.5,200,2021.133136
-1736389.6,200,2030.177703
-1682584.9,200,2038.959756
-732211.2,200,2045.129756
-1750958.1,200,2050.84762
-1058377.6,200,2056.031442
-1680342.7,200,2061.482924
-2297600.0,200,2067.398907
-1721911.6,200,2073.853241
-1608514.3,200,2079.464061
-1720005.5,200,2085.302537
-1595586.0,200,2090.868936
-713045.9,200,2095.645011
-762201.3,200,2100.206439
-740088.3,200,2104.802785
-663933.9,200,2109.269756
-1643627.8,200,2114.844176
-1674650.4,200,2120.241038
-670110.7,200,2126.410252
-1659221.0,200,2131.722777
-1745440.7,200,2137.578208
-1737145.0,200,2143.577607
-712155.2,200,2148.372993
-149324.7,200,2152.848493
-1857008.8,200,2159.007379
-747664.4,200,2165.447999
-1676140.0,200,2173.598704
-1739513.0,200,2181.58409
-1684811.6,200,2193.638309
-1798190.5,200,2201.110419
-1668102.6,200,2206.765318
-1726282.5,200,2212.55317
-720262.2,200,2216.934935
-653205.0,200,2221.506948
-672099.4,200,2226.136749
-1699346.4,200,2231.643087
-1709264.8,200,2237.212383
-1669133.7,200,2242.733546
-1599439.5,200,2249.558788
-734349.0,200,2254.375373
-1663735.3,200,2259.838331
-736653.4,200,2264.864008
-1669182.7,200,2270.342821
-1616113.6,200,2275.754152
-1655579.6,200,2281.16272
-1610460.4,200,2286.564695
-135685.2,200,2291.111753
-738491.6,200,2295.531677
-1707518.2,200,2301.120962
-1665179.4,200,2308.332788
-1667658.8,200,2313.82568
-1723873.0,200,2319.398397
-1724932.8,200,2324.872677
-1658656.8,200,2330.364424
-125714.4,200,2334.829154
-1701190.3,200,2340.535063
-1673013.1,200,2346.061291
-733558.0,200,2350.402825
-2253185.7,200,2356.293117
-1720865.8,200,2363.425049
-743348.9,200,2368.007693
-1664535.4,200,2373.738762
-1728138.1,200,2379.52199
-125522.6,200,2384.088842
-739097.1,200,2388.84938
-693929.6,200,2393.683849
-117369.0,200,2398.470792
-1749680.6,200,2403.74069
-1808387.5,200,2409.011608
-1719029.0,200,2417.972282
-1660668.6,200,2425.087027
-1672143.0,200,2433.105172
-154980.7,200,2440.242604
-1731848.8,200,2448.949023
-127167.4,200,2456.64974
-1697993.9,200,2465.095201
-1725565.6,200,2471.596646
-1733743.7,200,2477.746007
-1043007.0,200,2482.739487
-654767.4,200,2489.389957
-1736850.9,200,2496.673691
-135531.2,200,2503.540909
-1665490.2,200,2512.099759
-1752515.5,200,2520.631357
-1642935.5,200,2527.856054
-142144.1,200,2532.527397
-1648981.4,200,2538.124245
-1659346.3,200,2544.333908
-1702864.6,200,2551.008087
-1729618.0,200,2557.733307
-745025.4,200,2564.7974
-1673824.3,200,2570.89046
-1695237.4,200,2576.503785
-1660929.0,200,2582.298696
-1734901.5,200,2588.465269
-1657648.8,200,2594.36874
-1741578.1,200,2601.308031
-1604083.3,200,2609.172045
-1658669.4,200,2617.731226
-1756283.6,200,2626.662177
-1701686.5,200,2636.425495
-808517.5,200,2641.384679
-1733403.5,200,2647.5599
-1711224.6,200,2654.162779
-1725545.3,200,2660.698876
-1732720.3,200,2667.098726
-1722624.8,200,2673.116592
-150084.9,200,2678.193039
-1718490.0,200,2684.569843
-1600605.1,200,2690.96718
-716866.5,200,2697.586267
-1696155.1,200,2703.985598
-148794.8,200,2709.047982
-1666892.3,200,2714.987662
-1633710.9,200,2720.674366
-1702502.0,200,2726.190997
-1658054.1,200,2731.845577
-1720617.3,200,2737.219096
-732629.8,200,2742.104095
-1723460.7,200,2747.643945
-1680369.4,200,2754.908468
-753452.7,200,2759.723844
-651221.9,200,2764.155903
-1663744.3,200,2769.500775
-1664388.4,200,2775.278629
-1677356.5,200,2781.830649
-1656325.8,200,2787.954294
-722408.4,200,2793.13006
-673362.2,200,2797.916117
-1738647.2,200,2803.40708
-1607040.8,200,2808.978866
-1657921.8,200,2816.397476
-1710629.7,200,2822.122066
-1744426.4,200,2828.774009
-1719032.5,200,2835.015968
-1705092.0,200,2841.568611
-1747717.1,200,2847.201242
-656744.2,200,2852.144865
-1671991.8,200,2858.159778
-729058.4,200,2863.100933
-1670398.6,200,2868.94291
-659218.7,200,2875.72134
-1748145.4,200,2881.683997
-757374.1,200,2886.697351
-166197.5,200,2891.050165
-1650058.7,200,2897.00844
-1714692.5,200,2903.03406
-1688658.7,200,2909.307161
-1664651.6,200,2915.406585
-1664707.6,200,2921.89438
-1665336.8,200,2927.906605
-1680728.5,200,2936.22003
-685309.8,200,2941.735812
-1673467.4,200,2948.080312
-1556418.9,200,2954.33473
-1731028.4,200,2960.072881
-1734276.4,200,2965.715654
-1720660.0,200,2971.50188
-142636.9,200,2976.009675
-1640934.2,200,2981.760282
-645481.9,200,2987.185021
